_id,CHR
1915,1
1916,10
1917,11
1918,2
1919,2
1920,12
1921,12
1922,3
1923,5
1924,5
1925,6
1926,7
1927,7
1928,8
1929,9
1930,9
1931,1
1932,10
1933,11
1934,11
1935,11
1936,12
1937,12
1938,3
1939,4
1940,4
1941,6
1942,6
1943,7
1944,7
1945,1
1946,9
1947,1
1948,9
1949,1
1950,1
1951,10
1952,11
1953,12
1954,3
1955,3
1956,3
1957,5
1958,6
1959,7
1960,8
1961,8
1962,8
1963,1
1964,1
1965,10
1966,2
1967,2
1968,2
1969,2
1970,12
1971,12
1972,3
1973,3
1974,3
1975,12
1976,3
1977,4
1978,5
1979,6
1980,6
1981,6
1982,7
1983,9
1984,9
1985,1
1986,10
1987,10
1988,2
1989,11
1990,2
1991,11
1992,4
1993,4
1994,6
1995,6
1996,6
1997,7
1998,8
1999,1
2000,1
2001,1
2002,10
2003,1
2004,2
2005,2
2006,4
2007,5
2008,5
2009,6
2010,6
2011,6
2012,7
2013,7
2014,1
2015,10
2016,11
2017,2
2018,12
2019,3
2020,12
2021,3
2022,3
2023,3
2024,4
2025,5
2026,6
2027,6
2028,7
2029,7
2030,9
2031,2
2032,11
2033,3
2034,5
2035,5
2036,6
2037,6
2038,6
2039,8
2040,1
2041,9
2042,1
2043,10
2044,10
2045,11
2046,2
2047,11
2048,4
2049,5
2050,6
2051,6
2052,6
2053,7
2054,7
2055,7
2056,8
2057,1
2058,11
2059,11
2060,2
2061,12
2062,12
2063,3
2064,4
2065,4
2066,6
2067,7
2068,1
2069,9
2070,1
2071,10
2072,11
2073,2
2074,3
2075,3
2076,12
2077,12
2078,5
2079,6
2080,8
2081,9
2082,9
2083,9
2084,10
2085,2
2086,3
2087,3
2088,3
2089,3
2090,12
2091,3
2092,4
2093,4
2094,4
2095,4
2096,4
2097,7
2098,8
2099,9
2100,10
2101,10
2102,2
2103,11
2104,12
2105,3
2106,7
2107,8
2108,1
2109,1
2110,9
2111,9
2112,1
2113,1
2114,10
2115,11
2116,2
2117,3
2118,12
2119,12
2120,3
2121,4
2122,6
2123,9
2124,1
2125,1
2126,1
2127,10
2128,2
2129,12
2130,3
2131,3
2132,3
2133,4
2134,5
2135,5
2136,5
2137,6
2138,6
2139,7
2140,1
2141,1
2142,1
2143,11
2144,11
2145,12
2146,3
2147,4
2148,4
2149,5
2150,5
2151,7
2152,1
2153,10
2154,11
2155,12
2156,3
2157,4
2158,4
2159,5
2160,7
2161,7
2162,7
2163,8
2164,8
2165,8
2166,8
2167,9
2168,1
2169,1
2170,2
2171,2
2172,2
2173,12
2174,3
2175,3
2176,4
2177,5
2178,6
2179,8
2180,8
2181,9
2182,10
2183,1
2184,11
2185,11
2186,2
2187,2
2188,12
2189,12
2190,3
2191,4
2192,6
2193,6
2194,1
2195,1
2196,9
2197,1
2198,1
2199,10
2200,11
2201,3
2202,3
2203,4
2204,5
2205,5
2206,7
2207,8
2208,8
2209,8
2210,1
2211,1
2212,1
2213,1
2214,1
2215,10
2216,3
2217,5
2218,6
2219,1
2220,10
2221,2
2222,12
2223,12
2224,5
2225,5
2226,7
2227,7
2228,1
2229,9
2230,1
2231,2
2232,5
2233,6
2234,6
2235,7
2236,7
2237,7
2238,8
2239,8
2240,8
2241,1
2242,1
2243,1
2244,1
2245,2
2246,2
2247,11
2248,3
2249,12
2250,6
2251,6
2252,7
2253,1
2254,10
2255,2
2256,11
2257,12
2258,3
2259,4
2260,4
2261,4
2262,6
2263,6
2264,7
2265,8
2266,1
2267,9
2268,1
2269,1
2270,2
2271,11
2272,2
2273,12
2274,3
2275,3
2276,12
2277,3
2278,5
2279,6
2280,7
2281,8
2282,8
2283,1
2284,1
2285,10
2286,2
2287,3
2288,12
2289,12
2290,12
2291,3
2292,5
2293,7
2294,7
2295,1
2296,11
2297,3
2298,12
2299,12
2300,3
2301,5
2302,5
2303,6
2304,6
2305,7
2306,7
2307,8
2308,9
2309,1
2310,1
2311,1
2312,11
2313,2
2314,3
2315,4
2316,5
2317,6
2318,8
2319,8
2320,9
2321,1
2322,10
2323,3
2324,12
2325,12
2326,3
2327,4
2328,5
2329,6
2330,8
2331,8
2332,10
2333,10
2334,2
2335,3
2336,3
2337,12
2338,3
2339,4
2340,5
2341,6
2342,7
2343,8
2344,1
2345,9
2346,9
2347,1
2348,11
2349,11
2350,11
2351,3
2352,Un
2353,4
2354,4
2355,4
2356,6
2357,7
2358,7
2359,8
2360,8
2361,9
2362,1
2363,1
2364,1
2365,1
2366,1
2367,10
2368,2
2369,2
2370,11
2371,2
2372,2
2373,2
2374,11
2375,12
2376,12
2377,12
2378,12
2379,12
2380,3
2381,4
2382,5
2383,5
2384,7
2385,7
2386,8
2387,9
2388,9
2389,1
2390,2
2391,2
2392,3
2393,3
2394,3
2395,7
2396,7
2397,8
2398,8
2399,8
2400,1
2401,1
2402,10
2403,10
2404,10
2405,11
2406,2
2407,11
2408,2
2409,11
2410,3
2411,12
2412,4
2413,4
2414,7
2415,7
2416,9
2417,1
2418,1
2419,1
2420,2
2421,2
2422,3
2423,3
2424,5
2425,7
2426,8
2427,8
2428,8
2429,1
2430,11
2431,2
2432,12
2433,3
2434,4
2435,4
2436,5
2437,5
2438,6
2439,7
2440,7
2441,1
2442,1
2443,9
2444,1
2445,9
2446,10
2447,10
2448,10
2449,2
2450,11
2451,11
2452,11
2453,12
2454,12
2455,6
2456,9
2457,9
2458,1
2459,2
2460,11
2461,12
2462,3
2463,3
2464,4
2465,5
2466,5
2467,6
2468,6
2469,7
2470,7
2471,8
2472,8
2473,9
2474,1
2475,1
2476,10
2477,2
2478,2
2479,2
2480,3
2481,3
2482,12
2483,3
2484,12
2485,4
2486,5
2487,5
2488,5
2489,6
2490,8
2491,9
2492,1
2493,1
2494,1
2495,10
2496,2
2497,12
2498,3
2499,Un
2500,4
2501,4
2502,6
2503,7
2504,7
2505,8
2506,1
2507,1
2508,10
2509,10
2510,10
2511,2
2512,2
2513,11
2514,11
2515,12
2516,3
2517,5
2518,5
2519,6
2520,6
2521,7
2522,7
2523,8
2524,8
2525,8
2526,1
2527,9
2528,10
2529,1
2530,2
2531,2
2532,2
2533,12
2534,3
2535,3
2536,4
2537,5
2538,6
2539,7
2540,9
2541,9
2542,1
2543,10
2544,1
2545,2
2546,12
2547,3
2548,4
2549,4
2550,4
2551,5
2552,6
2553,7
2554,1
2555,1
2556,10
2557,2
2558,2
2559,11
2560,3
2561,12
2562,3
2563,4
2564,5
2565,5
2566,5
2567,5
2568,6
2569,6
2570,6
2571,7
2572,7
2573,8
2574,8
2575,1
2576,9
2577,9
2578,9
2579,9
2580,10
2581,1
2582,10
2583,2
2584,3
2585,12
2586,12
2587,3
2588,Un
2589,4
2590,4
2591,5
2592,5
2593,6
2594,6
2595,7
2596,1
2597,9
2598,10
2599,10
2600,10
2601,2
2602,11
2603,11
2604,12
2605,3
2606,4
2607,4
2608,5
2609,6
2610,7
2611,8
2612,1
2613,1
2614,10
2615,12
2616,3
2617,5
2618,6
2619,7
2620,8
2621,9
2622,9
2623,1
2624,3
2625,12
2626,12
2627,12
2628,Un
2629,3
2630,3
2631,4
2632,4
2633,5
2634,5
2635,7
2636,7
2637,1
2638,10
2639,10
2640,11
2641,2
2642,2
2643,12
2644,3
2645,4
2646,5
2647,8
2648,9
2649,1
2650,9
2651,1
2652,1
2653,9
2654,1
2655,9
2656,1
2657,2
2658,2
2659,11
