_id,GID
896,100125908
897,100125910
898,100125911
899,100134873
900,100134874
901,100134875
902,100134876
903,100134877
904,100134878
905,100134879
906,100134880
907,100134882
908,100134884
909,100134888
910,100134889
911,100134890
912,100134894
913,100134895
914,100134901
915,100134902
916,100134903
917,100134905
918,100134907
919,100134909
920,100134911
921,100134914
922,100134915
923,100135704
924,100136876
925,100136886
926,100136887
927,100136888
928,100136891
929,100136892
930,100136893
931,100136894
932,100136895
933,100147716
934,100147717
935,100147718
936,100147719
937,100147720
938,100147722
939,100147723
940,100147724
941,100147725
942,100147728
943,100191112
944,100191113
945,100191114
946,100191115
947,100191116
948,100191118
949,100191119
950,100191121
951,100191123
952,100191124
953,100191125
954,100191126
955,100191127
956,100191128
957,100191130
958,100191131
959,100191132
960,100191133
961,100191134
962,100191135
963,100191136
964,100191138
965,100240705
966,100271699
967,100301907
968,100301908
969,100301909
970,100301910
971,100301911
972,100301912
973,100301918
974,100301920
975,100301921
976,100301925
977,100301926
978,100301927
979,100301928
980,100301930
981,100301931
982,100301932
983,100301933
984,100301934
985,100301935
986,100301936
987,100301940
988,100301941
989,100301945
990,100301981
991,100303774
992,100303775
993,100313501
994,100313952
995,100316872
996,100316874
997,100316875
998,100316877
999,100316879
1000,100316883
1001,100316884
1002,100316889
1003,100316892
1004,100316894
1005,100316895
1006,100316897
1007,100316898
1008,100316902
1009,100322875
1010,100322877
1011,100462655
1012,100462656
1013,100498663
1014,100500729
1015,100505457
1016,100505458
1017,100526834
1018,100527965
1019,100527966
1020,100527967
1021,100527968
1022,100527969
1023,100527970
1024,100527971
1025,100527972
1026,100527974
1027,100527976
1028,100527977
1029,100529100
1030,100529102
1031,100529103
1032,100529106
1033,100529127
1034,100529132
1035,100529133
1036,100529134
1037,100529135
1038,100529136
1039,100529137
1040,100529138
1041,100529139
1042,100529140
1043,100534642
1044,100620057
1045,100736245
1046,100736247
1047,100736432
1048,100736433
1049,100736435
1050,100736437
1051,100736438
1052,100736439
1053,100736442
1054,100736445
1055,100736447
1056,100736448
1057,100736450
1058,100736462
1059,100736463
1060,100736464
1061,100736465
1062,100736466
1063,100736467
1064,100736468
1065,100736469
1066,100736470
1067,100736472
1068,100736473
1069,100736474
1070,100736475
1071,100736476
1072,100736477
1073,100736478
1074,100736479
1075,100736480
1076,100736481
1077,100736482
1078,100736483
1079,100736484
1080,100736485
1081,100736486
1082,100736487
1083,100736488
1084,100736493
1085,100736494
1086,100736495
1087,100736496
1088,100736497
1089,100736498
1090,100736499
1091,100736500
1092,100736501
1093,100736503
1094,100736504
1095,100736509
1096,100736510
1097,100736511
1098,100736512
1099,100736513
1100,100736514
1101,100736517
1102,100736526
1103,100736528
1104,100736529
1105,100736530
1106,100736531
1107,100736533
1108,100736534
1109,100736535
1110,100736536
1111,100736537
1112,100736538
1113,100736539
1114,100736540
1115,100736541
1116,100736543
1117,100736544
1118,100736545
1119,100736547
1120,100736548
1121,100736549
1122,100750249
1123,100750254
1124,100750255
1125,100820700
1126,100820702
1127,100820703
1128,100820704
1129,100820705
1130,100820706
1131,100820707
1132,100820708
1133,100874535
1134,100874536
1135,100874537
1136,100874538
1137,100874539
1138,100874540
1139,100874541
1140,100874542
1141,100874543
1142,100874544
1143,101055500
1144,101055501
1145,101055502
1146,101055507
1147,101055508
1148,101055510
1149,101055518
1150,101055519
1151,101055521
1152,101055522
1153,101055526
1154,101055527
1155,101055535
1156,101055538
1157,101055541
1158,101055542
1159,101055543
1160,101055544
1161,101055545
1162,101055546
1163,101055547
1164,101055548
1165,101055549
1166,101055550
1167,101055551
1168,101055552
1169,101055553
1170,101055554
1171,101055555
1172,101055556
1173,101055558
1174,101055565
1175,101055566
1176,101055567
1177,101055568
1178,101055569
1179,101055570
1180,101055571
1181,101055577
1182,101055578
1183,101055579
1184,101055580
1185,101055581
1186,101055582
1187,101055587
1188,101055588
1189,101055589
1190,101055591
1191,101055593
1192,101055594
1193,101055595
1194,101055596
1195,101055597
1196,101055598
1197,101055605
1198,101055606
1199,101055607
1200,101055609
1201,101055610
1202,101055612
1203,101055613
1204,101055614
1205,101243647
1206,101243653
1207,101243654
1208,101243660
1209,101243669
1210,101243681
1211,101243683
1212,101243692
1213,101243704
1214,101243705
1215,101243714
1216,101243715
1217,101243717
1218,101243719
1219,101243727
1220,101243755
1221,101243758
1222,101243759
1223,101243763
1224,101243765
1225,101243766
1226,101243767
1227,101243784
1228,101243788
1229,101243792
1230,101243808
1231,101243811
1232,101243840
1233,101243842
1234,101243850
1235,101243853
1236,101243858
1237,101243864
1238,101243865
1239,101243866
1240,101243873
1241,101243879
1242,101243887
1243,101243891
