yourlist:M201510162IPPEIITE1	Entry
544273	Q8RU74
544274	P32518
544275	K4D5U3
544276	P49297
544277	Q8GZD8
544278	Q42877
544279	Q41341
544280	P54926
544282	Q96489
544283	O04924
544283	P93222
544283	Q15I66
544285	P24157
544286	P01076
544287	P46291
544289	P09607
544290	Q43508
544291	K4CM42
544292	Q43780
544294	Q43525
544295	Q43505
544296	O04678
544297	Q0GGX1
544298	Q9ZR41
544299	P23322
544301	Q43496
544302	P43282
544306	Q9LEG5
544307	Q8RXB6
544308	Q6J1L7
544309	Q672Q4
544310	P12360
544312	K4BE72
544313	P54767
606298	Q41342
606299	O49187
606302	P93235
606304	Q6EHI3
606305	Q9ARC6
606305	Q9ARC9
606713	Q8S9H4
778198	Q9AR34
778199	Q9ARC7
778199	Q9ARD0
778201	Q5D8D2
778203	K4CAL4
778203	Q5EC63
778204	Q563I3
778208	Q4W3B5
778210	Q4PS97
778211	Q4PS96
778212	Q4JFW8
778215	Q3SC87
778218	Q3SC84
778222	Q3SC78
778223	Q3I5C4
778224	Q3I5C3
778224	Q52QQ4
778227	Q38MV0
778228	Q56BA6
778229	Q4VDN8
778230	K4BSL7
778230	Q4VDN6
778233	Q4JEZ3
778234	Q2PQJ1
778235	K4CKM6
778236	Q2TDW9
778237	Q2P9R8
778238	Q5DQ95
778240	Q2LAJ3
778241	Q2LAI9
778242	Q2KP21
778243	Q2KTH4
778245	K4C108
778245	Q1W377
778246	Q1XBU5
778247	Q1XBU4
778249	K4AXN2
778249	Q2VY17
778250	Q2VY16
778251	Q2VY15
778252	K4BJW8
778253	Q2VY10
778254	Q1KSC6
778255	Q1KSC5
778256	Q1KSC4
778262	Q1HTV5
778264	Q1HTV4
778265	Q1HTV3
778267	K4BG66
778272	K4BIK1
778273	Q156I2
778274	K4DH64
778275	Q9M727
778276	Q9M726
778277	Q9SP05
778278	Q8S4L3
778281	O65820
778282	O65821
778284	Q6SKP4
778285	Q645N1
778286	Q645M9
778287	Q645M8
778288	B3EYD3
778289	P38546
778290,778291	P38547
778292	Q42881
778293	K4BDF4
778293	P24396
778294	K4CWH7
778295	G3CKB7
778295	P23419
778297	Q40163
778298	Q40158
778299	Q43515
778300	Q43512
778301	Q43517
778305	K4CWB3
778306	K4C6I1
778307	Q0PXC1
778310	Q1A7T0
778311	Q1A746
778312	Q3C2L6
778315	Q53U42
778316	Q53U41
778317	Q53U40
778318	Q53U39
778319	Q53U38
778320	Q53U37
778322	Q53U34
778323	Q4W5U7
778324	Q588D6
778325	K4B378
