_id,GO,EVIDENCE,ONTOLOGY
32,GO:0000287,IEA,MF
32,GO:0080027,IEA,BP
32,GO:0045338,IEA,BP
32,GO:0080017,IEA,MF
33,GO:0045338,IEA,BP
33,GO:0051762,IEA,BP
33,GO:0034005,IEA,MF
33,GO:0080027,IEA,BP
33,GO:0080016,IEA,MF
33,GO:0016106,IEA,BP
33,GO:0080017,IEA,MF
33,GO:0000287,IEA,MF
34,GO:0043531,IEA,MF
34,GO:0006952,IEA,BP
35,GO:0004337,IEA,MF
35,GO:0005783,IEA,CC
35,GO:0016126,IEA,BP
35,GO:0005829,IEA,CC
35,GO:0004161,IEA,MF
35,GO:0045337,IEA,BP
36,GO:0030026,IEA,BP
36,GO:0001947,IEA,BP
36,GO:0005886,IEA,CC
36,GO:0008016,IEA,BP
36,GO:0030176,IEA,CC
36,GO:0010042,IEA,BP
36,GO:0006828,IEA,BP
36,GO:0046686,IEA,BP
36,GO:0005524,IEA,MF
36,GO:0005774,IEA,CC
36,GO:0046872,IEA,MF
36,GO:0005388,IEA,MF
36,GO:0006816,IEA,BP
36,GO:0008152,IEA,BP
37,GO:0003700,IEA,MF
37,GO:0046983,IEA,MF
37,GO:0006355,IEA,BP
37,GO:0003677,IEA,MF
37,GO:0005634,IEA,CC
38,GO:0009828,IEA,BP
38,GO:0009505,IEA,CC
38,GO:0009506,IEA,CC
38,GO:0009739,IEA,BP
38,GO:0009826,IEA,BP
38,GO:0009831,IEA,BP
38,GO:0005829,IEA,CC
38,GO:0010114,IEA,BP
38,GO:0005576,IEA,CC
38,GO:0006949,IEA,BP
39,GO:0010114,IEA,BP
39,GO:0009831,IEA,BP
39,GO:0009505,IEA,CC
39,GO:0005576,IEA,CC
39,GO:0006949,IEA,BP
39,GO:0005829,IEA,CC
39,GO:0009739,IEA,BP
39,GO:0009826,IEA,BP
39,GO:0009828,IEA,BP
39,GO:0009507,IEA,CC
39,GO:0009506,IEA,CC
40,GO:0005199,IEA,MF
40,GO:0009826,IEA,BP
40,GO:0005576,IEA,CC
40,GO:0009739,IEA,BP
40,GO:0009828,IEA,BP
40,GO:0009831,IEA,BP
40,GO:0010119,IEA,BP
40,GO:0006949,IEA,BP
40,GO:0010114,IEA,BP
40,GO:0009505,IEA,CC
41,GO:0016049,IEA,BP
41,GO:0006949,IEA,BP
41,GO:0009827,IEA,BP
41,GO:0005576,IEA,CC
42,GO:0007389,IEA,BP
42,GO:0009505,IEA,CC
42,GO:0005975,IEA,BP
42,GO:0009624,IEA,BP
42,GO:0008810,IEA,MF
42,GO:0005886,IEA,CC
42,GO:0005829,IEA,CC
42,GO:0009506,IEA,CC
43,GO:0004713,IEA,MF
43,GO:0007017,IEA,BP
43,GO:0055028,IEA,CC
43,GO:0009913,IEA,BP
43,GO:0006468,IEA,BP
43,GO:0004674,IEA,MF
43,GO:0005524,IEA,MF
44,GO:0005774,IEA,CC
44,GO:0045309,IEA,MF
44,GO:0046686,IEA,BP
44,GO:0005829,IEA,CC
44,GO:0009570,IEA,CC
44,GO:0009506,IEA,CC
44,GO:0005739,IEA,CC
44,GO:0009742,IEA,BP
44,GO:0005524,IEA,MF
44,GO:0048046,IEA,CC
44,GO:0005886,IEA,CC
44,GO:0005618,IEA,CC
44,GO:0019904,IEA,MF
44,GO:0005635,IEA,CC
45,GO:0009506,IEA,CC
45,GO:0009639,IEA,BP
45,GO:0005509,IEA,MF
45,GO:0009651,IEA,BP
45,GO:0008270,IEA,MF
45,GO:0005634,IEA,CC
45,GO:0048046,IEA,CC
45,GO:0005524,IEA,MF
45,GO:0005544,IEA,MF
45,GO:0009414,IEA,BP
45,GO:0042803,IEA,MF
45,GO:0005618,IEA,CC
45,GO:0046686,IEA,BP
45,GO:0005739,IEA,CC
45,GO:0009408,IEA,BP
45,GO:0009570,IEA,CC
45,GO:0009986,IEA,CC
45,GO:0006979,IEA,BP
45,GO:0015774,IEA,BP
45,GO:0009409,IEA,BP
45,GO:0009737,IEA,BP
45,GO:0005886,IEA,CC
45,GO:0009579,IEA,CC
45,GO:0005774,IEA,CC
45,GO:0005829,IEA,CC
45,GO:0005507,IEA,MF
45,GO:0004601,IEA,MF
